dns:amyhoy.client.methodandstructure.com,urn:uuid:cf16f32c-824a-47c2-b176-905c11f8978c,Amy Hoy Demo,4
dns:canada-greens.client.methodandstructure.com,urn:uuid:994ace62-8277-4f1c-8931-746dffbf9504,Election 2019,9
dns:chrysalis.client.methodandstructure.com,urn:uuid:abcac1e5-2fe0-4b40-9418-5bc3b62e7d04,Issue Network,28
dns:cupe-116.client.methodandstructure.com,urn:uuid:49ac68c4-922c-4d9e-88fa-b318fc54d36f,Issue Network,349
dns:doriantaylor.com,urn:uuid:1b457bed-8a80-4135-92b8-fdea12b4eea3,,4
dns:doriantaylor.com,urn:uuid:797e83d7-a86f-4838-b5c5-0ec20855197d,,151
dns:doriantaylor.com,urn:uuid:d543fd51-76e2-4827-85ed-934d0d348957,Computer Art Taxonomy,39
dns:doriantaylor.com,urn:uuid:4ec7530b-5536-4fb7-bb5a-45a3f5fddc22,Concepts Used on doriantaylor.com,132
dns:doriantaylor.com,urn:uuid:bbe073ad-f449-4b25-91ac-7d919613ca51,Glossary & Index,546
dns:doriantaylor.com,urn:uuid:4c070444-f776-4b64-b9dc-0809cf15a5a8,Hypermedia,38
dns:doriantaylor.com,urn:uuid:d4317ece-d4aa-40cb-9df1-1b058cbc24d8,IA Conference 2020,23
dns:doriantaylor.com,urn:uuid:ec4de4f4-0215-4f8b-bc3d-6a7369a311d3,IA Conference 2023,1
dns:doriantaylor.com,urn:uuid:6caa9811-620d-4707-9f19-073772c8d689,Samba Migration Attempt,24
dns:frb-clv.client.methodandstructure.com,urn:uuid:64041b58-9f1d-4fac-83d5-899ebeee00d7,Imported Lexicon,104
dns:frb-clv.client.methodandstructure.com,urn:uuid:a0751f82-473a-4099-8664-949948064c54,Issue Network,13
dns:methodandstructure.com,urn:uuid:a20e8fc7-03f3-4a24-ad91-4cd845758737,"44th Parliament, Bill C-26",77
dns:methodandstructure.com,urn:uuid:f6f5d555-82ae-4a85-9458-45c2d073c325,"44th Parliament, Bill C-27",916
dns:methodandstructure.com,urn:uuid:9b537d81-35fe-406b-8205-e134903aacec,Fresnel,15
dns:methodandstructure.com,urn:uuid:1d1f2e93-5831-4644-b217-9bc99ed51c29,Loupe,5
dns:methodandstructure.com,urn:uuid:e7611c28-20f6-4648-913c-96db6ac8b1d4,Specificity Gradient,2
dns:openlink.client.methodandstructure.com,urn:uuid:75f35368-e228-47fe-8efd-7251a2bde816,Issue Network,210
dns:openui.client.methodandstructure.com,urn:uuid:1b457bed-8a80-4135-92b8-fdea12b4eea3,,3
dns:openui.client.methodandstructure.com,urn:uuid:4ec7530b-5536-4fb7-bb5a-45a3f5fddc22,,3
dns:openui.client.methodandstructure.com,urn:uuid:797e83d7-a86f-4838-b5c5-0ec20855197d,,31
dns:openui.client.methodandstructure.com,urn:uuid:a1a01f1c-7162-439c-94f1-3e28b99ae8ab,,105
dns:openui.client.methodandstructure.com,urn:uuid:bbe073ad-f449-4b25-91ac-7d919613ca51,,56
dns:openui.client.methodandstructure.com,urn:uuid:ddfaaacc-9dcb-451b-afa6-477e6e787a5c,OpenUI Issues,184
dns:optimalworkshop.client.methodandstructure.com,urn:uuid:91684d49-7b99-4b2e-9641-ea0b8e22f66c,Issue Network,125
dns:polyneme.client.methodandstructure.com,urn:uuid:1b457bed-8a80-4135-92b8-fdea12b4eea3,Concepts Applicable to Contracting,589
dns:polyneme.client.methodandstructure.com,urn:uuid:1f9788d1-aafb-47ef-9311-6008e5de2a54,FAIR Principles,22
dns:polyneme.client.methodandstructure.com,urn:uuid:2124b193-739c-463d-903f-3ad50e3a4d6f,Meta-Issues,33
dns:polyneme.client.methodandstructure.com,urn:uuid:8eea6812-00b4-47b1-8c87-4da525db2059,Innobooster 2025,1
dns:polyneme.client.methodandstructure.com,urn:uuid:2153d83b-8555-44a3-96e0-821b6663a188,Main Issues,678
dns:polyneme.client.methodandstructure.com,urn:uuid:9f98d1d7-745f-47bc-a361-f6b4fe352fbc,DOE SBIR 2023,21
dns:polyneme.client.methodandstructure.com,urn:uuid:dff46e89-21a4-4613-afbe-ce2e7366bbe6,HelioWeb,3
dns:polyneme.client.methodandstructure.com,urn:uuid:2153d83b-8555-44a3-96e0-821b6663a188,Issue Network,678
dns:polyneme.client.methodandstructure.com,urn:uuid:bd8a4c12-c634-4885-abd1-39ef32d67c00,SBIR AF244-0001,18
dns:private.methodandstructure.com,urn:uuid:797e83d7-a86f-4838-b5c5-0ec20855197d,,169
dns:private.methodandstructure.com,urn:uuid:2df6fac6-3122-44dc-9f92-5caab7f9b10b,Bogon (unknown),514
dns:private.methodandstructure.com,urn:uuid:72a57411-e35c-4905-8e8e-d85b0da762f4,Code Inventory,107
dns:private.methodandstructure.com,urn:uuid:6781193e-5317-44db-9363-973c48fd6ced,DossiYay (social media intel),7
dns:private.methodandstructure.com,urn:uuid:f1634ba0-0aa9-4ef7-9445-86425b0de8e2,Junk Test,8
dns:private.methodandstructure.com,urn:uuid:9e16c47a-158f-4936-a193-791c82015a4a,SoP Concepts,121
dns:private.methodandstructure.com,urn:uuid:bc4c2785-6e74-4d76-a7e2-c1e10a188ee6,SoP24 Issues,5
dns:ribbonfarm.client.methodandstructure.com,urn:uuid:48714273-1bf9-478e-8ef3-95f59eed6837,Issue Network,9
dns:senseatlas.net,urn:uuid:06d0a702-4dc7-4271-abd6-1b05b96c7fce,RDF::SAK (Old Intertwingler),26
