urn:uuid:9e16c47a-158f-4936-a193-791c82015a4a,urn:uuid:9a39cd87-f540-4682-9b3d-85e51007d512,(Companies),
urn:uuid:9e16c47a-158f-4936-a193-791c82015a4a,urn:uuid:2e414e61-e417-483b-aa6e-9e9594c75ebc,(Epithets),
urn:uuid:9e16c47a-158f-4936-a193-791c82015a4a,urn:uuid:d5b7ce92-5076-43c0-a8e1-6028cf48c199,(Expressions),
urn:uuid:0c7028f0-8226-47b3-acff-a4e83e6a60fd,urn:uuid:0b758f46-c799-495b-b382-93212d47071c,(software) development team,dev
urn:uuid:1b457bed-8a80-4135-92b8-fdea12b4eea3,urn:uuid:0b758f46-c799-495b-b382-93212d47071c,(software) development team,dev
urn:uuid:2153d83b-8555-44a3-96e0-821b6663a188,urn:uuid:0b758f46-c799-495b-b382-93212d47071c,(software) development team,dev
urn:uuid:bbe073ad-f449-4b25-91ac-7d919613ca51,urn:uuid:0b758f46-c799-495b-b382-93212d47071c,(software) development team,dev
urn:uuid:0c7028f0-8226-47b3-acff-a4e83e6a60fd,urn:uuid:0b758f46-c799-495b-b382-93212d47071c,(software) development team,dev team
urn:uuid:1b457bed-8a80-4135-92b8-fdea12b4eea3,urn:uuid:0b758f46-c799-495b-b382-93212d47071c,(software) development team,dev team
urn:uuid:2153d83b-8555-44a3-96e0-821b6663a188,urn:uuid:0b758f46-c799-495b-b382-93212d47071c,(software) development team,dev team
urn:uuid:bbe073ad-f449-4b25-91ac-7d919613ca51,urn:uuid:0b758f46-c799-495b-b382-93212d47071c,(software) development team,dev team
urn:uuid:0c7028f0-8226-47b3-acff-a4e83e6a60fd,urn:uuid:0b758f46-c799-495b-b382-93212d47071c,(software) development team,development team
urn:uuid:1b457bed-8a80-4135-92b8-fdea12b4eea3,urn:uuid:0b758f46-c799-495b-b382-93212d47071c,(software) development team,development team
urn:uuid:2153d83b-8555-44a3-96e0-821b6663a188,urn:uuid:0b758f46-c799-495b-b382-93212d47071c,(software) development team,development team
urn:uuid:bbe073ad-f449-4b25-91ac-7d919613ca51,urn:uuid:0b758f46-c799-495b-b382-93212d47071c,(software) development team,development team
urn:uuid:0c7028f0-8226-47b3-acff-a4e83e6a60fd,urn:uuid:0b758f46-c799-495b-b382-93212d47071c,(software) development team,software engineering team
urn:uuid:1b457bed-8a80-4135-92b8-fdea12b4eea3,urn:uuid:0b758f46-c799-495b-b382-93212d47071c,(software) development team,software engineering team
urn:uuid:2153d83b-8555-44a3-96e0-821b6663a188,urn:uuid:0b758f46-c799-495b-b382-93212d47071c,(software) development team,software engineering team
urn:uuid:bbe073ad-f449-4b25-91ac-7d919613ca51,urn:uuid:0b758f46-c799-495b-b382-93212d47071c,(software) development team,software engineering team
urn:uuid:0c7028f0-8226-47b3-acff-a4e83e6a60fd,urn:uuid:22c5c553-d574-4bf7-9a4d-13e70afa7f1c,(system) operations team,operations team
urn:uuid:1b457bed-8a80-4135-92b8-fdea12b4eea3,urn:uuid:22c5c553-d574-4bf7-9a4d-13e70afa7f1c,(system) operations team,operations team
urn:uuid:2153d83b-8555-44a3-96e0-821b6663a188,urn:uuid:22c5c553-d574-4bf7-9a4d-13e70afa7f1c,(system) operations team,operations team
urn:uuid:bbe073ad-f449-4b25-91ac-7d919613ca51,urn:uuid:22c5c553-d574-4bf7-9a4d-13e70afa7f1c,(system) operations team,operations team
urn:uuid:0c7028f0-8226-47b3-acff-a4e83e6a60fd,urn:uuid:22c5c553-d574-4bf7-9a4d-13e70afa7f1c,(system) operations team,ops
urn:uuid:1b457bed-8a80-4135-92b8-fdea12b4eea3,urn:uuid:22c5c553-d574-4bf7-9a4d-13e70afa7f1c,(system) operations team,ops
urn:uuid:2153d83b-8555-44a3-96e0-821b6663a188,urn:uuid:22c5c553-d574-4bf7-9a4d-13e70afa7f1c,(system) operations team,ops
urn:uuid:bbe073ad-f449-4b25-91ac-7d919613ca51,urn:uuid:22c5c553-d574-4bf7-9a4d-13e70afa7f1c,(system) operations team,ops
urn:uuid:0c7028f0-8226-47b3-acff-a4e83e6a60fd,urn:uuid:22c5c553-d574-4bf7-9a4d-13e70afa7f1c,(system) operations team,ops team
urn:uuid:1b457bed-8a80-4135-92b8-fdea12b4eea3,urn:uuid:22c5c553-d574-4bf7-9a4d-13e70afa7f1c,(system) operations team,ops team
urn:uuid:2153d83b-8555-44a3-96e0-821b6663a188,urn:uuid:22c5c553-d574-4bf7-9a4d-13e70afa7f1c,(system) operations team,ops team
urn:uuid:bbe073ad-f449-4b25-91ac-7d919613ca51,urn:uuid:22c5c553-d574-4bf7-9a4d-13e70afa7f1c,(system) operations team,ops team
urn:uuid:1b457bed-8a80-4135-92b8-fdea12b4eea3,urn:uuid:54cf7b82-e284-4314-9b81-ba81cc20a621,ANSI,
urn:uuid:2153d83b-8555-44a3-96e0-821b6663a188,urn:uuid:54cf7b82-e284-4314-9b81-ba81cc20a621,ANSI,
urn:uuid:2df6fac6-3122-44dc-9f92-5caab7f9b10b,urn:uuid:54cf7b82-e284-4314-9b81-ba81cc20a621,ANSI,
urn:uuid:bbe073ad-f449-4b25-91ac-7d919613ca51,urn:uuid:54cf7b82-e284-4314-9b81-ba81cc20a621,ANSI,
urn:uuid:d543fd51-76e2-4827-85ed-934d0d348957,urn:uuid:54cf7b82-e284-4314-9b81-ba81cc20a621,ANSI,
urn:uuid:1b457bed-8a80-4135-92b8-fdea12b4eea3,urn:uuid:db972323-c096-4ddf-80ce-0e98f6b7c7c7,API adapter,
urn:uuid:2153d83b-8555-44a3-96e0-821b6663a188,urn:uuid:db972323-c096-4ddf-80ce-0e98f6b7c7c7,API adapter,
urn:uuid:2df6fac6-3122-44dc-9f92-5caab7f9b10b,urn:uuid:db972323-c096-4ddf-80ce-0e98f6b7c7c7,API adapter,
urn:uuid:797e83d7-a86f-4838-b5c5-0ec20855197d,urn:uuid:db972323-c096-4ddf-80ce-0e98f6b7c7c7,API adapter,
urn:uuid:bbe073ad-f449-4b25-91ac-7d919613ca51,urn:uuid:db972323-c096-4ddf-80ce-0e98f6b7c7c7,API adapter,
urn:uuid:1b457bed-8a80-4135-92b8-fdea12b4eea3,urn:uuid:4cea1d9c-1ce1-4d75-ab10-5383d22f18e6,ASCII,
urn:uuid:2153d83b-8555-44a3-96e0-821b6663a188,urn:uuid:4cea1d9c-1ce1-4d75-ab10-5383d22f18e6,ASCII,
urn:uuid:2df6fac6-3122-44dc-9f92-5caab7f9b10b,urn:uuid:4cea1d9c-1ce1-4d75-ab10-5383d22f18e6,ASCII,
urn:uuid:bbe073ad-f449-4b25-91ac-7d919613ca51,urn:uuid:4cea1d9c-1ce1-4d75-ab10-5383d22f18e6,ASCII,
urn:uuid:d543fd51-76e2-4827-85ed-934d0d348957,urn:uuid:4cea1d9c-1ce1-4d75-ab10-5383d22f18e6,ASCII,
urn:uuid:9e16c47a-158f-4936-a193-791c82015a4a,urn:uuid:d8e42bb9-0752-4654-a757-0818dfdf9380,ASCII,
urn:uuid:1b457bed-8a80-4135-92b8-fdea12b4eea3,urn:uuid:68d566e1-16a5-48d7-bb05-9c467bda5036,Access Control,
urn:uuid:2153d83b-8555-44a3-96e0-821b6663a188,urn:uuid:68d566e1-16a5-48d7-bb05-9c467bda5036,Access Control,
urn:uuid:49ac68c4-922c-4d9e-88fa-b318fc54d36f,urn:uuid:afd1338d-86da-4c2e-a1cc-9b07679bed1b,Access Control,
urn:uuid:0c7028f0-8226-47b3-acff-a4e83e6a60fd,urn:uuid:c0e969c3-4528-4968-8418-d5fe609c2a62,Access Control,
urn:uuid:1b457bed-8a80-4135-92b8-fdea12b4eea3,urn:uuid:c0e969c3-4528-4968-8418-d5fe609c2a62,Access Control,
urn:uuid:2153d83b-8555-44a3-96e0-821b6663a188,urn:uuid:c0e969c3-4528-4968-8418-d5fe609c2a62,Access Control,
urn:uuid:2df6fac6-3122-44dc-9f92-5caab7f9b10b,urn:uuid:c0e969c3-4528-4968-8418-d5fe609c2a62,Access Control,
urn:uuid:75f35368-e228-47fe-8efd-7251a2bde816,urn:uuid:c0e969c3-4528-4968-8418-d5fe609c2a62,Access Control,
urn:uuid:91684d49-7b99-4b2e-9641-ea0b8e22f66c,urn:uuid:c0e969c3-4528-4968-8418-d5fe609c2a62,Access Control,
urn:uuid:a1a01f1c-7162-439c-94f1-3e28b99ae8ab,urn:uuid:c0e969c3-4528-4968-8418-d5fe609c2a62,Access Control,
urn:uuid:bbe073ad-f449-4b25-91ac-7d919613ca51,urn:uuid:c0e969c3-4528-4968-8418-d5fe609c2a62,Access Control,
urn:uuid:ddfaaacc-9dcb-451b-afa6-477e6e787a5c,urn:uuid:c0e969c3-4528-4968-8418-d5fe609c2a62,Access Control,
urn:uuid:1b457bed-8a80-4135-92b8-fdea12b4eea3,urn:uuid:d85e3c52-cc94-48a4-8dc5-591de86be52f,Account,account
